,Empresa,Stand,Workshop,Conferencia,Mesa Redonda,Publicidad catálogo,Conexión Teleco,Patrocinio,Nueva,Anotaciones y nº Stand Posible,Nº Stand,Llamada?,,,,,,,,nº1
44,Aertec,Básico Indus 2ª Planta,No,No,No,No,No,No,SI,,46,No,,,,,,,,nº47
37,Syspro Automation SLU,Básico Indus 2ª Planta,No,No,No,1 página,No,No,SI,preguntar si prefieren indus 2ª planta,47,Si,,,,,,,,nº48
45,PwC,Básico Indus 2ª Planta,No,No,No,1 página,No,No,No,,48,No,,,,,,,,nº49
46,SDG GROUP,Básico Indus 2ª Planta,No,Sí,No,No,No,Bronce,SI,,49,No,,,,,,,,nº50
50,ECOFOREST,Básico Indus 2ª Planta,Sí,Sí,Sí,1 página,No,Bronce,SI,,50,No,,,,,,,,nº51
52,KPMG,Básico Indus 2ª Planta,No,No,No,No,No,No,SI,,51,No,,,,,,,,
53,COITIVIGO,No Stand,No,No,No,No,No,Bronce,No,,-,Si,,,,,,,,
12,,,,,,,,,,,-,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Lista de espera,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,No vienen,,,,,,,,,,,,,,,,,,,
,GT Motive,,,,,,,,,,,,,,,,,,,
,CORTIZO,,,,,,,,,,,,,,,,,,,
,ADVENTUS PLUS SL,,,,,,,,,,,,,,,,,,,
,Telefónica Tech,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Solo patro,,,,,,,,,,,,,,,,,,,
